evaluation_id,suite_id,metric,margin,n_groups,n_pairs,n_correct,n_predicted_ties,accuracy
thunder.wilds.linear_probing,thunder,f1,2.0,30,5169,4810,0,0.930547494679822
eva.leaderboard.bach.validation,eva,balanced_accuracy,5.0,30,1989,1816,0,0.9130216189039718
eva.leaderboard.bracs.validation,eva,balanced_accuracy,5.0,30,427,426,0,0.9976580796252927
eva.leaderboard.breakhis.validation,eva,balanced_accuracy,5.0,30,1566,1457,0,0.9303959131545338
eva.leaderboard.camelyon16_small.test,eva,balanced_accuracy,5.0,30,1078,1055,0,0.9786641929499073
eva.leaderboard.camelyon16_small.validation,eva,balanced_accuracy,5.0,30,705,689,0,0.9773049645390071
eva.leaderboard.consep.validation,eva,dice,5.0,30,572,556,0,0.972027972027972
eva.leaderboard.crc.validation,eva,balanced_accuracy,5.0,30,300,300,0,1.0
eva.leaderboard.gleason_arvaniti.validation,eva,balanced_accuracy,5.0,30,1096,1076,0,0.9817518248175182
eva.leaderboard.mhist.test,eva,balanced_accuracy,5.0,29,711,665,0,0.9353023909985936
eva.leaderboard.monusac.test,eva,dice,5.0,30,638,635,0,0.9952978056426333
eva.leaderboard.panda_small.test,eva,balanced_accuracy,5.0,30,663,639,0,0.9638009049773756
eva.leaderboard.patch_camelyon.test,eva,balanced_accuracy,5.0,30,745,744,0,0.9986577181208054
eva.leaderboard.patch_camelyon.validation,eva,balanced_accuracy,5.0,17,29,29,0,1.0
eva.leaderboard.patch_camelyon_10shot.test,eva,balanced_accuracy,5.0,30,1078,1054,0,0.9777365491651205
hest.coad.gene_expression,hest,pearson_r,5.0,25,84,84,0,1.0
hest.idc.gene_expression,hest,pearson_r,5.0,29,176,176,0,1.0
hest.paad.gene_expression,hest,pearson_r,5.0,28,111,111,0,1.0
hest.prad.gene_expression,hest,pearson_r,5.0,24,38,37,0,0.9736842105263158
hest.read.gene_expression,hest,pearson_r,5.0,30,342,342,0,1.0
hest.skcm.gene_expression,hest,pearson_r,5.0,30,953,953,0,1.0
pathobench.exaone2025.bc_therapy.er-status,pathobench,macro-ovr-auc,5.0,28,168,122,0,0.7261904761904762
pathobench.exaone2025.bc_therapy.grade,pathobench,macro-ovr-auc,5.0,28,151,136,0,0.9006622516556292
pathobench.exaone2025.bc_therapy.her2-status,pathobench,macro-ovr-auc,5.0,28,162,135,0,0.8333333333333334
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,macro-ovr-auc,5.0,23,44,40,0,0.9090909090909091
pathobench.exaone2025.bcnb.er,pathobench,macro-ovr-auc,5.0,19,19,19,0,1.0
pathobench.exaone2025.boehmk_.pfs,pathobench,cindex,5.0,27,117,88,0,0.7521367521367521
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,macro-ovr-auc,5.0,27,182,168,0,0.9230769230769231
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,macro-ovr-auc,5.0,28,116,102,0,0.8793103448275862
pathobench.exaone2025.cptac_brca.immune-class,pathobench,macro-ovr-auc,5.0,26,63,56,0,0.8888888888888888
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,macro-ovr-auc,5.0,29,170,145,0,0.8529411764705882
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,5.0,28,200,182,0,0.91
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,macro-ovr-auc,5.0,28,168,134,0,0.7976190476190477
pathobench.exaone2025.cptac_ccrcc.os,pathobench,cindex,5.0,26,265,146,0,0.5509433962264151
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,macro-ovr-auc,5.0,27,99,90,0,0.9090909090909091
