evaluation_id,suite_id,metric,top_fraction,n_groups,total_k,overlap,recovery
eva.leaderboard.bach.validation,eva,balanced_accuracy,0.1,30,60,41,0.6833333333333333
eva.leaderboard.bracs.validation,eva,balanced_accuracy,0.1,30,60,37,0.6166666666666667
eva.leaderboard.breakhis.validation,eva,balanced_accuracy,0.1,30,60,35,0.5833333333333334
eva.leaderboard.camelyon16_small.test,eva,balanced_accuracy,0.1,30,60,43,0.7166666666666667
eva.leaderboard.camelyon16_small.validation,eva,balanced_accuracy,0.1,30,60,44,0.7333333333333333
eva.leaderboard.consep.validation,eva,dice,0.1,30,60,32,0.5333333333333333
eva.leaderboard.crc.validation,eva,balanced_accuracy,0.1,30,60,42,0.7
eva.leaderboard.gleason_arvaniti.validation,eva,balanced_accuracy,0.1,30,60,45,0.75
eva.leaderboard.mhist.test,eva,balanced_accuracy,0.1,29,58,36,0.6206896551724138
eva.leaderboard.monusac.test,eva,dice,0.1,30,60,39,0.65
eva.leaderboard.panda_small.test,eva,balanced_accuracy,0.1,30,60,25,0.4166666666666667
eva.leaderboard.panda_small.validation,eva,balanced_accuracy,0.1,30,60,39,0.65
eva.leaderboard.patch_camelyon.test,eva,balanced_accuracy,0.1,30,60,49,0.8166666666666667
eva.leaderboard.patch_camelyon.validation,eva,balanced_accuracy,0.1,30,60,42,0.7
eva.leaderboard.patch_camelyon_10shot.test,eva,balanced_accuracy,0.1,30,60,44,0.7333333333333333
hest.ccrcc.gene_expression,hest,pearson_r,0.1,30,90,53,0.5888888888888889
hest.coad.gene_expression,hest,pearson_r,0.1,30,90,61,0.6777777777777778
hest.idc.gene_expression,hest,pearson_r,0.1,30,90,64,0.7111111111111111
hest.lung.gene_expression,hest,pearson_r,0.1,30,90,72,0.8
hest.lymph_idc.gene_expression,hest,pearson_r,0.1,30,90,70,0.7777777777777778
hest.paad.gene_expression,hest,pearson_r,0.1,30,90,63,0.7
hest.prad.gene_expression,hest,pearson_r,0.1,30,90,62,0.6888888888888889
hest.read.gene_expression,hest,pearson_r,0.1,30,90,66,0.7333333333333333
hest.skcm.gene_expression,hest,pearson_r,0.1,30,90,64,0.7111111111111111
pathobench.exaone2025.bc_therapy.er-status,pathobench,macro-ovr-auc,0.1,28,28,19,0.6785714285714286
pathobench.exaone2025.bc_therapy.grade,pathobench,macro-ovr-auc,0.1,28,28,24,0.8571428571428571
pathobench.exaone2025.bc_therapy.her2-status,pathobench,macro-ovr-auc,0.1,28,28,16,0.5714285714285714
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,macro-ovr-auc,0.1,30,30,22,0.7333333333333333
pathobench.exaone2025.bcnb.er,pathobench,macro-ovr-auc,0.1,27,27,16,0.5925925925925926
pathobench.exaone2025.bcnb.her2,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.bcnb.pr,pathobench,macro-ovr-auc,0.1,30,30,20,0.6666666666666666
pathobench.exaone2025.boehmk_.pfs,pathobench,cindex,0.1,28,28,14,0.5
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,macro-ovr-auc,0.1,27,27,18,0.6666666666666666
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,macro-ovr-auc,0.1,28,28,19,0.6785714285714286
pathobench.exaone2025.cptac_brca.immune-class,pathobench,macro-ovr-auc,0.1,29,29,17,0.5862068965517241
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,macro-ovr-auc,0.1,29,29,16,0.5517241379310345
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,macro-ovr-auc,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,macro-ovr-auc,0.1,27,27,16,0.5925925925925926
pathobench.exaone2025.cptac_ccrcc.os,pathobench,cindex,0.1,26,26,14,0.5384615384615384
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,macro-ovr-auc,0.1,27,27,20,0.7407407407407407
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,macro-ovr-auc,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,macro-ovr-auc,0.1,29,29,20,0.6896551724137931
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,macro-ovr-auc,0.1,30,30,20,0.6666666666666666
pathobench.exaone2025.cptac_coad.immune-class,pathobench,macro-ovr-auc,0.1,29,29,16,0.5517241379310345
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,macro-ovr-auc,0.1,27,27,13,0.48148148148148145
pathobench.exaone2025.cptac_coad.msi-h,pathobench,macro-ovr-auc,0.1,29,29,21,0.7241379310344828
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,macro-ovr-auc,0.1,29,29,16,0.5517241379310345
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,macro-ovr-auc,0.1,28,28,20,0.7142857142857143
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,macro-ovr-auc,0.1,29,29,19,0.6551724137931034
pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench,macro-ovr-auc,0.1,27,27,20,0.7407407407407407
pathobench.exaone2025.cptac_gbm.immune-class,pathobench,macro-ovr-auc,0.1,27,27,17,0.6296296296296297
pathobench.exaone2025.cptac_gbm.tp53-mutation,pathobench,macro-ovr-auc,0.1,29,29,17,0.5862068965517241
pathobench.exaone2025.cptac_hnsc.casp8-mutation,pathobench,macro-ovr-auc,0.1,28,28,19,0.6785714285714286
pathobench.exaone2025.cptac_hnsc.histologic-grade,pathobench,macro-ovr-auc,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.cptac_hnsc.immune-class,pathobench,macro-ovr-auc,0.1,29,29,19,0.6551724137931034
pathobench.exaone2025.cptac_hnsc.os,pathobench,cindex,0.1,29,29,22,0.7586206896551724
pathobench.exaone2025.cptac_lscc.arid1a-mutation,pathobench,macro-ovr-auc,0.1,28,28,22,0.7857142857142857
pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench,macro-ovr-auc,0.1,27,27,12,0.4444444444444444
pathobench.exaone2025.cptac_lscc.immune-class,pathobench,macro-ovr-auc,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.cptac_lscc.keap1-mutation,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.cptac_luad.egfr-mutation,pathobench,macro-ovr-auc,0.1,26,26,12,0.46153846153846156
pathobench.exaone2025.cptac_luad.immune-class,pathobench,macro-ovr-auc,0.1,28,28,13,0.4642857142857143
pathobench.exaone2025.cptac_luad.kras-mutation,pathobench,macro-ovr-auc,0.1,29,29,16,0.5517241379310345
pathobench.exaone2025.cptac_luad.os,pathobench,cindex,0.1,27,27,17,0.6296296296296297
pathobench.exaone2025.cptac_luad.stk11-mutation,pathobench,macro-ovr-auc,0.1,28,28,22,0.7857142857142857
pathobench.exaone2025.cptac_luad.tp53-mutation,pathobench,macro-ovr-auc,0.1,30,30,21,0.7
pathobench.exaone2025.cptac_ov.immune-class,pathobench,macro-ovr-auc,0.1,28,28,18,0.6428571428571429
pathobench.exaone2025.cptac_pda.immune-class,pathobench,macro-ovr-auc,0.1,28,28,20,0.7142857142857143
pathobench.exaone2025.cptac_pda.os,pathobench,cindex,0.1,29,29,20,0.6896551724137931
pathobench.exaone2025.cptac_pda.smad4-mutation,pathobench,macro-ovr-auc,0.1,29,29,19,0.6551724137931034
pathobench.exaone2025.cptac_ucec.ctnnb1-mutation,pathobench,macro-ovr-auc,0.1,27,27,20,0.7407407407407407
pathobench.exaone2025.cptac_ucec.immune-class,pathobench,macro-ovr-auc,0.1,30,30,19,0.6333333333333333
pathobench.exaone2025.cptac_ucec.pten-mutation,pathobench,macro-ovr-auc,0.1,26,26,17,0.6538461538461539
pathobench.exaone2025.ebrains.diagnosis,pathobench,macro-ovr-auc,0.1,29,29,20,0.6896551724137931
pathobench.exaone2025.ebrains.diagnosis-group,pathobench,macro-ovr-auc,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.ebrains.idh-status,pathobench,macro-ovr-auc,0.1,29,29,19,0.6551724137931034
pathobench.exaone2025.hancook.grading-scc-conventional-keratinizing,pathobench,macro-ovr-auc,0.1,30,30,19,0.6333333333333333
pathobench.exaone2025.hancook.grading-scc-conventional-nonkeratinizing,pathobench,macro-ovr-auc,0.1,29,29,13,0.4482758620689655
pathobench.exaone2025.hancook.lymphovascular-invasion-l,pathobench,macro-ovr-auc,0.1,27,27,18,0.6666666666666666
pathobench.exaone2025.hancook.os-treatment-rdc,pathobench,cindex,0.1,28,28,16,0.5714285714285714
pathobench.exaone2025.hancook.perineural-invasion-pn,pathobench,macro-ovr-auc,0.1,30,30,18,0.6
pathobench.exaone2025.hancook.primarily-metastasis,pathobench,macro-ovr-auc,0.1,28,28,20,0.7142857142857143
pathobench.exaone2025.hancook.primary-tumor-site,pathobench,macro-ovr-auc,0.1,29,29,12,0.41379310344827586
pathobench.exaone2025.hancook.vascular-invasion-v,pathobench,macro-ovr-auc,0.1,27,27,16,0.5925925925925926
pathobench.exaone2025.herroi.response,pathobench,macro-ovr-auc,0.1,28,28,18,0.6428571428571429
pathobench.exaone2025.imp.grade,pathobench,macro-ovr-auc,0.1,30,30,22,0.7333333333333333
pathobench.exaone2025.mbc_.os,pathobench,cindex,0.1,28,28,20,0.7142857142857143
pathobench.exaone2025.mbc_.recist,pathobench,macro-ovr-auc,0.1,30,30,20,0.6666666666666666
pathobench.exaone2025.mut-het-rcc.bap1-mutation,pathobench,macro-ovr-auc,0.1,29,29,16,0.5517241379310345
pathobench.exaone2025.mut-het-rcc.pbrm1-mutation,pathobench,macro-ovr-auc,0.1,28,28,18,0.6428571428571429
pathobench.exaone2025.mut-het-rcc.setd2-mutation,pathobench,macro-ovr-auc,0.1,26,26,14,0.5384615384615384
pathobench.exaone2025.nadt.response,pathobench,macro-ovr-auc,0.1,28,28,18,0.6428571428571429
pathobench.exaone2025.natbrca.lymphovascular-invasion,pathobench,macro-ovr-auc,0.1,30,30,21,0.7
pathobench.exaone2025.ovarian.response,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.panda.isup-grade,pathobench,macro-ovr-auc,0.1,29,29,19,0.6551724137931034
pathobench.exaone2025.sr386_.braf-mutant-binary,pathobench,macro-ovr-auc,0.1,30,30,19,0.6333333333333333
pathobench.exaone2025.sr386_.died-within-5-years,pathobench,macro-ovr-auc,0.1,30,30,23,0.7666666666666667
pathobench.exaone2025.sr386_.mmr-loss-binary,pathobench,macro-ovr-auc,0.1,27,27,19,0.7037037037037037
pathobench.exaone2025.sr386_.os,pathobench,cindex,0.1,28,28,17,0.6071428571428571
pathobench.exaone2025.sr386_.ras-mutant-binary,pathobench,macro-ovr-auc,0.1,28,28,15,0.5357142857142857
pathobench.exaone2025.visiomel.relapse-noprev-melanoma,pathobench,macro-ovr-auc,0.1,27,27,17,0.6296296296296297
pathobench.exaone2025.visiomel.relapse-overall,pathobench,macro-ovr-auc,0.1,30,30,17,0.5666666666666667
pathobench.threads2025.bcnb.er,pathobench,macro-ovr-auc,0.1,29,29,28,0.9655172413793104
pathobench.threads2025.bcnb.her2,pathobench,macro-ovr-auc,0.1,30,30,26,0.8666666666666667
pathobench.threads2025.bcnb.pr,pathobench,macro-ovr-auc,0.1,28,28,25,0.8928571428571429
pathobench.threads2025.boehmk_.pfs,pathobench,cindex,0.1,30,30,30,1.0
pathobench.threads2025.bracs.slidelevel-coarse,pathobench,bacc,0.1,27,27,20,0.7407407407407407
