informativeness_rank,evaluation_id,suite_id,metric,models_with_score,model_coverage,parity_medae,hidden_only_medae,model_average_mae,improvement_over_column_median,column_baseline_medae,skill_in_sample_matrixwide_numerator_DEPRECATED,column_loo_baseline_medae,column_robust_dispersion,matched_cell_n,matched_cell_k0_medae,matched_cell_greedy_medae,matched_cell_greedy_beats_k0,skill_numerator_medae,skill_numerator_scope,medae_ratio_to_loo_baseline,skill_score,skill_score_raw,skill_excluded_below_noise_floor,skill_exclusion_reason,parity_medae_normalized,parity_medae_normalized_sd_legacy
13,hest.lung.gene_expression,hest,pearson_r,26,0.4406779661016949,1.9665748572340078,2.031081631436109,4.2138361825705966,-0.06657485723401635,0.6700000000000017,-1.9351863540806011,0.6750000000000043,0.9933420000000025,18,1.3775253940558798,0.7769495278626835,True,0.7769495278626835,lofo_matched_cells_greedy_k4_per_column,1.1510363375743387,-0.15103633757433865,-0.15103633757433865,False,,1.9797560731691632,1.6878999177851604
14,eva.leaderboard.patch_camelyon.validation,eva,balanced_accuracy,15,0.2542372881355932,1.990321402641797,2.022344067664662,4.242075339956191,-0.09032140264180555,1.4000000000000057,-0.421658144744135,1.8000000000000114,2.0756400000000084,15,1.3145829193982905,0.9996303581995818,True,0.9996303581995818,lofo_matched_cells_greedy_k4_per_column,0.5553501989997641,0.4446498010002359,0.4446498010002359,False,,0.9588952817645588,1.2618894239159237
15,thunder.crc.linear_probing,thunder,f1,32,0.5423728813559322,2.0159946504891195,2.0583348649521085,3.5179192681467466,-0.11599465048912805,1.5,-0.343996433659413,1.5,2.2239,32,1.2597827408438036,1.2773779377107743,False,1.2773779377107743,lofo_matched_cells_greedy_k4_per_column,0.8515852918071829,0.1484147081928171,0.1484147081928171,False,,0.9065131752727729,0.933328356153051
16,thunder.wilds.linear_probing,thunder,f1,32,0.5423728813559322,2.0377609920918403,2.084660556702996,3.472760022670069,-0.13776099209184878,2.0,-0.018880496045920125,2.049999999999997,2.9652,32,1.5219687851297081,0.9379259987585868,True,0.9379259987585868,lofo_matched_cells_greedy_k4_per_column,0.45752487744321374,0.5424751225567863,0.5424751225567863,False,,0.6872254795939027,0.5899008104540752
17,eva.leaderboard.panda_small.test,eva,balanced_accuracy,19,0.3220338983050847,2.0389372916699813,2.0592363792300716,3.822421166648178,-0.1389372916699898,1.0999999999999943,-0.8535793560636289,1.1499999999999915,1.6308599999999915,14,1.147449960863586,2.60711524395062,False,2.60711524395062,lofo_matched_cells_greedy_k4_per_column,2.2670567338701213,-1.0,-1.2670567338701213,False,,1.2502221476214954,0.2525896474853262
18,hest.idc.gene_expression,hest,pearson_r,26,0.4406779661016949,2.0389372916699813,2.0864737824056867,4.109523469276895,-0.1389372916699898,1.2974999999999994,-0.5714352922312,1.4575000000000031,1.9236734999999991,14,1.4419149856072337,0.8540070923299368,True,0.8540070923299368,lofo_matched_cells_greedy_k4_per_column,0.5859396859896637,0.4140603140103363,0.4140603140103363,False,,1.0599185837253475,1.2800144811829206
19,eva.leaderboard.camelyon16_small.test,eva,balanced_accuracy,19,0.3220338983050847,2.053639204677257,2.0730228474747605,4.009424873972372,-0.15363920467726544,1.7999999999999972,-0.1409106692651445,1.9500000000000028,2.6686799999999957,11,0.7347870565135679,2.479600727177413,False,2.479600727177413,lofo_matched_cells_greedy_k4_per_column,1.2715901165012355,-0.27159011650123555,-0.27159011650123555,False,,0.7695337038075979,0.20731491201809513
20,hest.paad.gene_expression,hest,pearson_r,26,0.4406779661016949,2.0628226825398883,2.1190188310018883,4.274876162593967,-0.16282268253989685,1.0874999999999986,-0.8968484437148423,1.0874999999999986,1.6123274999999977,26,1.3136467105224696,0.5597372545894785,True,0.5597372545894785,lofo_matched_cells_greedy_k4_per_column,0.5147009237604407,0.48529907623955926,0.48529907623955926,False,,1.2794067474132218,1.3889797517073625
21,eva.leaderboard.patch_camelyon.test,eva,balanced_accuracy,19,0.3220338983050847,2.084104608181029,2.116009434254849,3.8996556175907062,-0.18410460818103758,2.299999999999997,0.09386756166042098,2.75,3.4099799999999956,10,1.6203660946682348,0.895488886595075,True,0.895488886595075,lofo_matched_cells_greedy_k4_per_column,0.3256323223982091,0.6743676776017908,0.6743676776017908,False,,0.6111779565220417,0.49087173834191444
22,pathorob.tcga_2x2.robustness_index,pathorob,robustness_index,20,0.3389830508474576,2.11440013245835,2.142410949206525,4.267802013508152,-0.21440013245835843,8.150000000000006,0.740564400925356,8.600000000000009,12.083190000000007,17,8.76548581977299,8.236651723726354,True,8.236651723726354,lofo_matched_cells_greedy_k4_per_column,0.957750200433296,0.04224979956670405,0.04224979956670405,False,,0.17498691425512208,0.21896076832149708
23,hest.skcm.gene_expression,hest,pearson_r,26,0.4406779661016949,2.12598899396518,2.169932471264076,4.22168241616981,-0.22598899396518846,1.8024999999999949,-0.17946684824698256,1.9249999999999972,2.6723864999999924,25,2.257151497893375,1.3871666741953135,True,1.3871666741953135,lofo_matched_cells_greedy_k4_per_column,0.720606064517047,0.279393935482953,0.279393935482953,False,,0.7955394902515732,0.8443499130292451
24,eva.leaderboard.consep.validation,eva,dice,19,0.3220338983050847,2.136187645427171,2.150261943377757,3.848411587022043,-0.2361876454271794,1.2000000000000028,-0.7801563711893049,1.25,1.779120000000004,19,1.4353474077645956,1.3716483975872649,True,1.3716483975872649,lofo_matched_cells_greedy_k4_per_column,1.0973187180698118,-0.09731871806981185,-0.09731871806981185,False,,1.200699022790574,0.5072320361633003
25,hoptimus1report2025.braf_crc.cptac_coad.abmil_auc,hoptimus1_report,auroc,5,0.0847457627118644,2.1400969640080447,2.142862200223412,4.34340336795844,-0.24009696400805325,3.5999999999999943,0.40552862110887555,3.999999999999986,5.3373599999999914,5,5.944888888043707,6.359428611819354,False,6.359428611819354,lofo_matched_cells_greedy_k4_per_column,1.589857152954844,-0.589857152954844,-0.589857152954844,False,,0.4009654518353733,0.5790902546508664
26,hoptimus1report2025.kras_crc.cptac_coad.abmil_auc,hoptimus1_report,auroc,5,0.0847457627118644,2.1425234604158874,2.1443271332934017,4.357314668398652,-0.2425234604158959,3.799999999999997,0.43617803673266076,5.0,5.633879999999995,5,7.433651037849259,7.015262355446765,True,7.015262355446765,lofo_matched_cells_greedy_k4_per_column,1.403052471089353,-0.40305247108935305,-0.40305247108935305,False,,0.3802927042137726,0.5202875008149795
27,eva.leaderboard.monusac.test,eva,dice,19,0.3220338983050847,2.1445202567248316,2.168756819396606,3.8448332898815556,-0.24452025672484012,1.6999999999999957,-0.2614825039557864,1.8500000000000014,2.5204199999999934,13,2.287716157223045,2.3335978393284194,False,2.3335978393284194,lofo_matched_cells_greedy_k4_per_column,1.2614042374748202,-0.2614042374748202,-0.2614042374748202,False,,0.8508582921595754,0.3908334771278303
28,hest.ccrcc.gene_expression,hest,pearson_r,26,0.4406779661016949,2.1464645862992704,2.182104024277102,4.473262990962844,-0.24646458629927892,0.9075000000000024,-1.3652502328366554,0.9250000000000007,1.3454595000000036,13,0.9631805362182533,0.7170054438751592,True,0.7170054438751592,lofo_matched_cells_greedy_k4_per_column,0.7751410204055769,0.22485897959442314,0.22485897959442314,False,,1.5953394258981892,1.9486532767312275
29,pathobench.exaone2025.hancook.grading-scc-conventional-nonkeratinizing,pathobench,macro-ovr-auc,7,0.11864406779661017,2.147556850892496,2.1683132974915083,4.429461785889613,-0.24755685089250434,1.7000000000000028,-0.26326873581911303,3.25,2.520420000000004,4,4.380700204063466,0.44930618695240554,True,0.44930618695240554,lofo_matched_cells_greedy_k4_per_column,0.13824805752381708,0.8617519424761829,0.8617519424761829,False,,0.8520630890456719,0.22299683541267096
30,eva.leaderboard.bracs.validation,eva,balanced_accuracy,15,0.2542372881355932,2.1481626926723045,2.169158151251544,3.9600132358434883,-0.24816269267231306,1.499999999999993,-0.43210846178154316,1.7999999999999972,2.2238999999999893,5,2.4602448798167202,2.0465306686025997,True,2.0465306686025997,lofo_matched_cells_greedy_k4_per_column,1.1369614825570016,-0.13696148255700158,-0.13696148255700158,False,,0.9659439240398916,0.3803202427946232
