source_task,base_evaluation_id,evaluation_id,metric,model_alias,value,reference_url,source_archive_sha256
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,EXAONE Path 2.5,0.707,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,CHIEF,0.623,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,GigaPath,0.497,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,PRISM,0.612,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,TITAN,0.585,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,H-optimus-0,0.566,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,UNI2-h,0.523,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_PIK3CA_mutation,pathobench.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,macro-ovr-auc,EXAONE Path 2.5,0.545,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,CHIEF,0.820,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,GigaPath,0.740,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,PRISM,0.853,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,TITAN,0.838,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,H-optimus-0,0.748,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,UNI2-h,0.766,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_TP53_mutation,pathobench.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,macro-ovr-auc,EXAONE Path 2.5,0.762,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,CHIEF,0.641,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,GigaPath,0.662,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,PRISM,0.587,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,TITAN,0.677,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,H-optimus-0,0.618,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,UNI2-h,0.697,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_BAP1_mutation,pathobench.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,macro-ovr-auc,EXAONE Path 2.5,0.612,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_Immune_class,pathobench.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.immune-class,macro-ovr-auc,CHIEF,0.565,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_Immune_class,pathobench.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.immune-class,macro-ovr-auc,GigaPath,0.596,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_Immune_class,pathobench.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.immune-class,macro-ovr-auc,PRISM,0.558,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_ccrcc_Immune_class,pathobench.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.immune-class,macro-ovr-auc,TITAN,0.605,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
