"source_id","source_revision","source_sha256","source_locator","model_alias","model_id","evaluation_id","dataset_id","task_family","metric","value","uncertainty","embedding_recipe","protocol","reference_url","disposition","disposition_reason"
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=prad","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.prad.gene_expression","prad","spatial_transcriptomics","pearson_r",".385","standard_deviation=.000","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=paad","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.paad.gene_expression","paad","spatial_transcriptomics","pearson_r",".491","standard_deviation=.040","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=skcm","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.skcm.gene_expression","skcm","spatial_transcriptomics","pearson_r",".645","standard_deviation=.062","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=coad","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.coad.gene_expression","coad","spatial_transcriptomics","pearson_r",".309","standard_deviation=.000","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=read","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.read.gene_expression","read","spatial_transcriptomics","pearson_r",".222","standard_deviation=.048","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=ccrcc","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.ccrcc.gene_expression","ccrcc","spatial_transcriptomics","pearson_r",".255","standard_deviation=.135","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=lung","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.lung.gene_expression","lung","spatial_transcriptomics","pearson_r",".559","standard_deviation=.032","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=lymph_idc","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.lymph_idc.gene_expression","lymph_idc","spatial_transcriptomics","pearson_r",".259","standard_deviation=.040","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI|column=idc","UNI","uni","hest.hoptimus1report2025.idc.gene_expression","idc","spatial_transcriptomics","pearson_r",".574","standard_deviation=.080","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI|column=prad","UNI","uni","hest.hoptimus1report2025.prad.gene_expression","prad","spatial_transcriptomics","pearson_r",".294","standard_deviation=.090","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
