evaluation_id,suite_id,dataset_id,task_family,target,sample_unit,task_type,sample_count,sample_count_status,metric,n_observed_models,allowlisted_low_friction_proxy,reference_url
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,cptac_ccrcc,mutation_prediction,VHL_mutation,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,cptac_coad,mutation_prediction,ACVR2A_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,cptac_coad,mutation_prediction,APC_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,cptac_coad,mutation_prediction,ARID1A_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.immune-class,pathobench,cptac_coad,tme_characterization,Immune_class,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,cptac_coad,mutation_prediction,KRAS_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.msi-h,pathobench,cptac_coad,molecular_subtyping,MSI_H,case,classification,93,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,cptac_coad,mutation_prediction,PIK3CA_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,cptac_coad,mutation_prediction,SETD1B_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,cptac_coad,mutation_prediction,TP53_mutation,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench,cptac_gbm,mutation_prediction,EGFR_mutation,case,classification,99,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_gbm.immune-class,pathobench,cptac_gbm,tme_characterization,Immune_class,case,classification,99,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_gbm.tp53-mutation,pathobench,cptac_gbm,mutation_prediction,TP53_mutation,case,classification,99,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_hnsc.casp8-mutation,pathobench,cptac_hnsc,mutation_prediction,CASP8_mutation,case,classification,107,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_hnsc.histologic-grade,pathobench,cptac_hnsc,tumor_grading,Histologic_Grade,case,classification,107,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_hnsc.immune-class,pathobench,cptac_hnsc,tme_characterization,Immune_class,case,classification,107,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_hnsc.os,pathobench,cptac_hnsc,survival_prediction,OS,case,survival,102,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_lscc.arid1a-mutation,pathobench,cptac_lscc,mutation_prediction,ARID1A_mutation,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench,cptac_lscc,tumor_grading,Histologic_Grade,case,classification,104,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_lscc.immune-class,pathobench,cptac_lscc,tme_characterization,Immune_class,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_lscc.keap1-mutation,pathobench,cptac_lscc,mutation_prediction,KEAP1_mutation,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_luad.egfr-mutation,pathobench,cptac_luad,mutation_prediction,EGFR_mutation,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_luad.immune-class,pathobench,cptac_luad,tme_characterization,Immune_class,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
