model_id,evaluation_id,value,normalized_score,suite_id,metric,reference_url,source_locator,extraction_date,review_status,audit_status,lineage
chief-patch-mean,pathobench.threads2025.cptac_coad.kras-mutation,0.652,65.2,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T17,paper=THREADS|extended_data_table=17|model_row=Chief Mean Pooling|base_task=pathobench.cptac_coad.kras-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_coad.tp53-mutation,0.649,64.9,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T17,paper=THREADS|extended_data_table=17|model_row=Chief Mean Pooling|base_task=pathobench.cptac_coad.tp53-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_gbm.egfr-mutation,0.662,66.2,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T18,paper=THREADS|extended_data_table=18|model_row=Chief Mean Pooling|base_task=pathobench.cptac_gbm.egfr-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_gbm.tp53-mutation,0.849,84.9,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T18,paper=THREADS|extended_data_table=18|model_row=Chief Mean Pooling|base_task=pathobench.cptac_gbm.tp53-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_hnsc.casp8-mutation,0.482,48.2,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T19,paper=THREADS|extended_data_table=19|model_row=Chief Mean Pooling|base_task=pathobench.cptac_hnsc.casp8-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_hnsc.os,0.48,48,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T34,paper=THREADS|extended_data_table=34|model_row=Chief Mean Pooling|base_task=pathobench.cptac_hnsc.os,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_lscc.arid1a-mutation,0.524,52.4,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T20,paper=THREADS|extended_data_table=20|model_row=Chief Mean Pooling|base_task=pathobench.cptac_lscc.arid1a-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_lscc.keap1-mutation,0.676,67.6,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T20,paper=THREADS|extended_data_table=20|model_row=Chief Mean Pooling|base_task=pathobench.cptac_lscc.keap1-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_luad.egfr-mutation,0.722,72.2,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T21,paper=THREADS|extended_data_table=21|model_row=Chief Mean Pooling|base_task=pathobench.cptac_luad.egfr-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_luad.os,0.483,48.3,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T32,paper=THREADS|extended_data_table=32|model_row=Chief Mean Pooling|base_task=pathobench.cptac_luad.os,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
